	MX y nm - OP		MX ynm - IP		MX y+0.2 nm - OP		MX y+0.2nm - IP		MX y+0.4nm - OP		MX y+0.4nm - IP		MX y+0.6 nm - OP		MX y+0.6nm - IP
9234.005	1071.331875	13477.85	2248.39125	9233.985	413.1869792	13476.93	616.6932292	9233.737	172.9039844	13477.16	422.5660938	9233.32	557.1854167	13476.66	662.1458333
9208.959	1148.5225	13427.34	2213.095938	9208.837	430.4534375	13426.4	639.5407292	9208.312	190.1255469	13426.55	434.6349219	9207.979	544.06875	13426.46	662.7354167
9184.199	1283.868438	13377.67	2248.493438	9183.623	424.3595833	13376.31	647.0722917	9183.358	195.2704688	13376.49	434.5952344	9183.063	537.0682292	13376.04	664.134375
9158.847	1279.739688	13327.34	2375.47	9158.615	429.4340625	13326.87	618.3310417	9158.687	187.2665625	13326.84	457.7796875	9158.266	523.88125	13326.56	656.1807292
9134.042	1227.07375	13277.75	2403.012813	9133.577	410.8907292	13276.72	644.1588542	9133.646	176.7742188	13275.91	443.2604688	9133.351	519.6348958	13276.46	658.1052083
9108.977	1151.405625	13226.81	2341.035313	9108.577	386.1767708	13226.37	629.2372917	9108.414	171.2303125	13226.23	426.5269531	9108.107	527.0625	13225.85	636.8692708
9083.931	1029.998125	13177.25	2283.839375	9083.651	378.5954167	13177.09	641.0157292	9083.423	152.7747656	13176.21	440.9470313	9083.347	533.8760417	13175.57	643.5135417
9058.783	1014.344688	13126.73	2444.900938	9058.531	378.9916667	13126.84	650.8023958	9058.173	151.286875	13126.3	450.5352344	9057.987	532.2270833	13126.6	644.7244792
9033.802	1065.933125	13077.21	2461.400625	9033.476	397.4527083	13076.79	613.7007292	9033.29	165.1861719	13076.94	415.9017188	9033.247	545.2317708	13076.68	654.6848958
9008.838	1107.305	13027.62	2337.77625	9008.3	406.1869792	13026.7	684.2091667	9008.284	171.6532813	13025.68	425.9349219	9008.164	549.5317708	13026.3	639.2302083
8983.773	1251.168125	12977.53	2365.602188	8983.616	428.6163542	12976.43	654.1809375	8983.543	204.8259375	12976.1	441.5676563	8983.117	533.503125	12975.49	653.2416667
8958.949	1284.144688	12927.12	2358.072188	8958.614	419.1336458	12926.15	623.1945833	8958.413	186.8905469	12926.16	433.9222656	8958.099	524.5348958	12925.83	650.0114583
8933.94	1246.154688	12876.38	2239.565938	8933.578	410.4225	12875.74	616.2697917	8933.413	182.1334375	12876.22	415.6435938	8933.237	527.0619792	12876.52	643.4401042
8908.709	1199.874063	12826.75	2315.250313	8908.55	401.9071875	12826.21	626.3429167	8908.34	159.4124219	12825.88	442.9317188	8908.136	534.6666667	12825.54	660.6130208
8883.745	1082.627813	12777.12	2364.8725	8883.55	376.8138542	12775.49	686.9622917	8883.219	153.5717188	12775.83	438.6514063	8883.015	530.1526042	12775.61	658.45625
8858.819	1044.385625	12726.62	2327.969688	8858.568	406.9953125	12725.79	617.3242708	8858.09	152.7228125	12726.38	437.485	8858.053	534.4411458	12725.8	644.7510417
8833.895	1017.89625	12676.23	2265.937813	8833.66	389.510625	12675.42	615.2216667	8833.375	171.0935938	12675.44	419.8228125	8833.187	551.5213542	12675.62	637.6619792
8808.699	1071.122188	12626.36	2379.841875	8808.624	431.4283333	12626.04	694.1471875	8808.552	186.5964844	12626.03	445.0453906	8808.358	548.6911458	12625.74	650.9864583
8783.885	1230.667813	12576.06	2453.595313	8783.68	446.7305208	12576.71	655.9198958	8783.413	204.5954688	12575.66	439.3603906	8783.117	548.125	12575.21	660.690625
8758.708	1249.673438	12526.85	2383.226563	8758.494	435.998125	12525.62	624.4707292	8758.404	199.0285938	12525.45	409.3815625	8758.441	538.2255208	12525.6	638.6255208
8733.662	1309.15875	12476.67	2430.25375	8733.521	419.5401042	12475.43	646.2533333	8733.377	175.1983594	12474.71	445.425	8733.33	531.2182292	12475.44	634.69375
8708.856	1220.1575	12426.23	2351.720313	8708.68	399.69375	12425.54	674.7051042	8708.321	156.9101563	12425.09	413.8795313	8708.229	519.0829688	12425.57	626.3067708
8683.82	1073.690625	12375.5	2270.370313	8683.651	378.1332292	12375.59	657.6376042	8683.215	147.3030469	12375.96	415.0871094	8683.274	519.6648958	12374.38	657.7942708
8658.718	1027.213125	12326.87	2260.105	8658.72	398.6039583	12325.82	651.56125	8658.627	158.6617969	12325.46	416.4565625	8658.33	532.3255208	12324.9	654.9421875
8633.773	1004.753438	12275.78	2342.313125	8633.8	411.8930208	12274.69	647.3611458	8633.321	153.6896094	12274.64	431.3414063	8633.136	543.009375	12274.93	649.9739583
8608.755	1052.389375	12225.72	2464.95875	8608.726	402.2528125	12223.82	638.9291667	8608.35	171.3435156	12224.44	423.60875	8608.45	547.0083333	12224.32	652.803125
8583.811	1150.910938	12175.06	2251.138125	8583.624	429.8219792	12174.53	643.1917708	8583.043	177.94875	12174.08	445.4296094	8583.367	562.3161458	12174.41	650.4182292
8558.912	1264.157813	12125.64	2185.347813	8558.633	432.2254167	12124.29	648.7129167	8558.007	190.9265625	12124.44	463.8417188	8558.377	536.2708333	12123.85	659.7130208
8533.755	1302.83	12074.95	2270.655625	8533.633	438.0219792	12074.37	634.7755208	8533.219	186.4747656	12074.16	458.1008594	8533.367	535.1796875	12074.2	670.7
8508.736	1238.011563	12025.03	2365.5475	8508.735	426.3989583	12024.73	675.5907292	8507.969	168.8319531	12024.59	440.5073438	8508.506	523.1604167	12023.46	658.8166667
8483.829	1149.839375	11975.06	2440.1775	8483.457	378.5559375	11974.01	615.9513542	8483.375	158.7726563	11973.6	402.380625	8483.664	528.2083333	11974.1	658.6265625
8458.745	1042.642188	11924.42	2340.426875	8458.71	387.2442708	11924.23	629.3630208	8458.358	151.6488281	11923.61	469.4692188	8458.367	525.0901042	11924.27	655.5255208
8433.292	1033.046563	11875.09	2140.817813	8433.05	402.5798958	11874.58	624.146875	8433.034	161.949375	11873.91	454.2357031	8433.071	530.6541667	11873.99	646.784375
8408.522	1021.93	11825.14	2071.93375	8408.337	421.3446875	11823.87	678.26375	8408.064	172.3882031	11824.77	418.5066406	8407.932	550.1708333	11823.52	649.125
8383.6	1146.861563	11774.73	2085.698125	8383.299	402.335625	11773.71	647.7798958	8383.488	187.1948438	11774.2	404.4679688	8382.979	544.7625	11773.89	613.9911458
8358.662	1261.161875	11724.8	2296.92125	8358.457	423.2934375	11723.34	598.6297917	8358.395	178.2716406	11723.74	409.5025	8358.127	540.3796875	11723.77	620.3416667
8333.678	1287.868438	11675.25	2469.74875	8333.466	458.508125	11673.87	665.3233333	8333.321	199.4561719	11673.65	455.2982813	8333.089	531.0010417	11673.21	633.3015625
8308.69	1250.640625	11624.23	2300.364375	8308.411	415.1155208	11623.73	668.5057292	8308.367	185.3589063	11624.21	474.2583594	8308.321	526.4875	11623.24	628.5421875
8283.245	1143.31875	11575	2203.742813	8283.343	409.9129167	11574.01	604.8938542	8282.951	160.7103906	11573.91	421.1341406	8282.969	530.434375	11573.97	625.9463542
8258.524	1082.7925	11524.23	2190.420938	8258.521	394.9503125	11523.19	599.6571875	8258.026	153.8250781	11523.41	400.1526563	8257.923	525.1421875	11524.16	639.8885417
8233.495	1025.635938	11473.96	2253.099688	8233.596	374.6155208	11473.93	668.2960417	8233.256	155.5380469	11473.18	426.5174219	8233.328	538.9645833	11472.68	653.5479167
8208.505	1026.282813	11424.17	2444.356563	8208.373	377.6040625	11422.87	643.01	8208.232	146.5882813	11423.38	440.3032813	8208.108	552.4140625	11423.06	652.4161458
8183.264	1137.869375	11374.34	2500.494375	8183.234	415.2027083	11373.08	645.1653125	8183.034	174.1642969	11373.33	464.7305469	8183.21	549.4567708	11372.43	649.5083333
8158.365	1204.14625	11323.84	2325.850938	8158.239	433.2863542	11323.38	651.4354167	8157.864	190.2548438	11323.71	417.7580469	8158.118	546.7401042	11322.93	644.3916667
8133.41	1276.633125	11274.18	2167.002813	8133.355	449.3773958	11273.79	672.47	8132.821	189.3566406	11273.43	397.9964844	8132.941	540.7791667	11273.1	652.7635417
8108.254	1301.761563	11223.94	2268.909688	8108.337	419.3596875	11223.22	667.4910417	8107.978	179.3692969	11222.93	440.0780469	8107.951	526.6390625	11222.97	649.275
8083.347	1233.061875	11174.39	2443.735938	8083.188	403.5865625	11174.06	640.5415625	8082.997	162.000625	11172.99	468.8309375	8082.895	515.9658333	11173.71	647.8390625
8058.458	1154.835938	11123.89	2342.374375	8058.132	382.0196875	11123.54	619.6267708	8057.969	156.643125	11123.09	431.7001563	8057.885	523.1265625	11123.54	616.8666667
8033.644	1028.486563	11074.42	2324.352813	8033.258	394.6532292	11073.29	621.3358333	8033.062	149.3020313	11073.44	386.8671094	8032.932	523.8604167	11073.43	631.7885417
8008.699	1005.220938	11023.59	2320.536875	8008.476	373.8582292	11022.87	645.444375	8008.024	169.4882813	11023.1	442.2123438	8007.914	547.05625	11022.93	615.1755208
7983.458	1074.715	10973.7	2285.19875	7983.133	396.418125	10973.4	659.4989583	7982.923	163.9803125	10972.77	453.8532031	7982.858	553.4182292	10972.92	626.5208333
7958.337	1169.725938	10923.5	2301.309375	7957.865	444.2529167	10923.42	673.5236458	7957.847	189.6690625	10922.55	434.3407031	7957.83	547.4807292	10923.54	630.40625
7933.412	1232.9525	10873.42	2353.114063	7933.142	438.7530208	10873.29	695.7066667	7933.089	201.2796875	10872.7	438.6867188	7932.562	530.5838542	10873.49	620.0276042
7908.291	1274.003125	10823.42	2401.163125	7908.003	419.1167708	10822.66	628.5215625	7907.895	188.3177344	10823.05	417.4028906	7907.525	521.9958333	10822.66	627.8276042
7883.523	1223.139063	10773.29	2288.009063	7883.021	411.0528125	10772.57	608.49625	7882.914	176.0589844	10772.85	414.8939063	7882.784	530.1473958	10772.93	651.6390625
7858.356	1175.685938	10723.85	2317.724688	7858.096	389.8271875	10722.98	668.6482292	7857.682	154.9015625	10722.41	496.51125	7857.738	533.2838542	10722.79	651.7927083
7833.401	1044.692813	10673.48	2406.085938	7832.865	372.7773958	10672.54	664.0138542	7832.941	140.5027344	10672.81	485.9126563	7832.581	530.2619792	10673	647.0536458
7808.125	1027.370625	10623.24	2416.75125	7807.965	401.6565625	10621.93	621.9301042	7808.052	153.39875	10622.82	395.5421875	7807.562	539.2458333	10622.82	652.2822917
7783.171	1050.288438	10572.86	2372.152188	7782.984	406.3278125	10572.47	631.7448958	7782.867	165.9521094	10572.36	413.2527344	7782.83	540.6078125	10572.41	649.4786458
7758.254	1103.01	10523.13	2248.854375	7758.078	428.7435417	10522.71	691.2902083	7757.766	181.9275781	10522.24	432.1216406	7757.867	551.6380208	10522.78	668.4052083
7733.236	1220.12125	10473.06	2305.991875	7733.068	437.4739583	10472.34	681.7258333	7732.821	195.2069531	10472.35	466.5876563	7732.951	550.925	10472.41	661.7765625
7708.245	1285.32625	10422.86	2287.208125	7708.012	434.6930208	10422.32	630.823125	7707.774	178.7942969	10422.66	447.2202344	7707.728	528.425	10422.47	647.8838542
